value	Question
Q10_10_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Ability to analyze data and other information
Q10_11_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Understanding science
Q10_12_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Learning ethical conduct in your field
Q10_13_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Learning laboratory techniques
Q10_14_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Ability to read and understand primary literature
Q10_15_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Skill in how to give an effective oral presentation
Q10_16_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Skill in science writing
Q10_17_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Self-confidence
Q10_18_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Understanding of how scientists think
Q10_19_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Learning to work independently
Q10_20_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Becoming part of a learning community
Q10_21_post	In this section of the survey you will be asked to consider a variety of possible benefits you may have gained from your research experience. If for any reason you prefer not to answer, or consider the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Confidence in my potential to be a teacher of science
Q11_1_post	For each item below please rate your own agreement with the item. - This course was a good way of learning about the subject matter
Q11_2_post	For each item below please rate your own agreement with the item. - This course was a good way of learning about the process of scientific research
Q11_3_post	For each item below please rate your own agreement with the item. - This course had a positive effect on my interest in science
Q11_4_post	For each item below please rate your own agreement with the item. - I was able to ask questions in this class and get helpful responses
Q13_1_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Even if I forget the facts, I'll still be able to use the thinking skills I learn in science
Q13_2_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - You can rely on scientific results to be true and correct
Q13_3_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - The process of writing in science is helpful for understanding scientific ideas
Q13_4_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - When scientific results conflict with my personal experience, I follow my experience in making choices
Q13_5_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Students who do not major/concentrate in science should not have to take science courses
Q13_6_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - I wish science instructors would just tell us what we need to now so we can learn it
Q13_7_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Creativity does not play a role in science
Q13_8_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Science is not connected to non-science fields such as history, literature, economics, or art
Q13_9_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - When experts disagree on a science question, it's because they don't know all the facts yet
Q13_10_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - I get personal satisfaction when I solve a scientific problem by figuring it out myself
Q13_11_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Since nothing in science is known for certain, all theories are equally valid
Q13_12_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Science is essentially an accumulation of facts, rules, and formulas
Q13_13_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - I can do well in science courses
Q13_14_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Real scientists don't follow the scientific method in a straight line
Q13_15_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - There is too much emphasis in science classes on figuring things out for yourself
Q13_16_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Only scientific experts are qualified to make judgments on scientific issues
Q13_17_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Scientists know what the results of their experiments will be before they start
Q13_18_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Explaining science ideas to others has helped me understand the ideas better
Q13_19_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - The main job of the instructor is to structure the work so that we can learn it ourselves
Q13_20_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Scientists play with statistics to support their own ideas
Q13_21_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - Lab experiments are used to confirm information studied in science class
Q13_22_post	In the pretest you responded to questions about science. Below the questions are posed again. Your answers will help us decide between two hypotheses, that the opinions are reliable over time (test-retest reliability) or that the opinions change as a result of your experience. For each item below please rate your agreement with the item - If an experiment shows that something doesn't work, the experiment was a failure
Q5_post	Did you declare a major or concentration yet?
Q6_post	What major or concentration have you declared? Please include double majors, concentrations etcetera.
Q7_post	If you have not yet declared a major or concentration, please indicate if you are considering a major/concentration in the sciences.
